id,sourcePort,destinationPort,distance
488,Futong (FTG),Godau port  (GDP),780
489,Futong (FTG),HO CHI MINH (HCM),785
490,Futong (FTG),Jakarta (JAK),580
491,Futong (FTG),K.K. Kota Kinabalu (KK),910
492,Futong (FTG),Kemaman (KMN),390
493,Futong (FTG),Kuantan (KT),270
494,Futong (FTG),Kuching (KUC),510
495,Futong (FTG),Labuan (LBN),840
496,Futong (FTG),Maptaphut (MAT),920
497,Futong (FTG),Century Harbour (MHI),990
498,Futong (FTG),Pasir Gudang (PAS),250
499,Futong (FTG),Port Klang (PKL),250
500,Futong (FTG),Palembang (PLB),310
501,Futong (FTG),Panjang (PNJ),690
502,Futong (FTG),Pontianak (POT),770
503,Futong (FTG),Singapore (SG),260
504,Futong (FTG),Sungai Guntung (SGGT),100
505,Futong (FTG),Songkhla (SK),690
506,Futong (FTG),Sampit (SMQ),770
507,Futong (FTG),Son Duong (SOD),1430
508,Futong (FTG),Tawau (TAW),1340
509,Futong (FTG),Terengganu (TGG),450
510,Futong (FTG),Tha Sala (TSL),750
511,Godau port  (GDP),Bangpakong (BAK),652
512,Godau port  (GDP),Bahodopi (BHDP),1970
513,Godau port  (GDP),Bintulu (BIN),580
514,Godau port  (GDP),Bangkok (BK),671
515,Godau port  (GDP),Balikpapan (BPN),1320
516,Godau port  (GDP),Bang Sapan (BS),600
517,Godau port  (GDP),Cat Lai (CLI),55
518,Godau port  (GDP),Cai Lan (CLN),870
519,Godau port  (GDP),Cam Pha (CPH),818
520,Godau port  (GDP),Danang (DAD),516
521,Godau port  (GDP),Dumai (DMI),810
522,Godau port  (GDP),Dung Quat (DQT),428
523,Godau port  (GDP),Futong (FTG),780
524,Godau port  (GDP),HO CHI MINH (HCM),58
525,Godau port  (GDP),Hon Gai (HON),815
526,Godau port  (GDP),Haiphong (HPH),798
527,Godau port  (GDP),Khanom (KHM),572
528,Godau port  (GDP),Kedah (KKH),1038
529,Godau port  (GDP),Ko Sichang (KSI),620
530,Godau port  (GDP),Kuantan (KT),485
531,Godau port  (GDP),Kuching (KUC),595
532,Godau port  (GDP),KUM,1130
533,Godau port  (GDP),Labuan (LBN),605
534,Godau port  (GDP),Laem Chabang (LCB),650
535,Godau port  (GDP),Lahad Datu (LDU),1150
536,Godau port  (GDP),Lhokseumawe (LHOK),1180
537,Godau port  (GDP),Lumut (LUM),930
538,Godau port  (GDP),Maptaphut (MAT),580
539,Godau port  (GDP),Manila Habour (MNL),970
540,Godau port  (GDP),My Tho (MUT),90
541,Godau port  (GDP),Nghi Son (NGH),780
542,Godau port  (GDP),Nunukan (NNX),1030
543,Godau port  (GDP),Oknha Mong Port (OMP),446
544,Godau port  (GDP),Palembang (PLB),860
545,Godau port  (GDP),Pontianak (POT),680
546,Godau port  (GDP),Yangon (RGN),1776
547,Godau port  (GDP),Singapore (SG),630
548,Godau port  (GDP),Sungai Guntung (SGGT),770
549,Godau port  (GDP),Steung Hav (SHV),445
550,Godau port  (GDP),Srihanoville (SIH),380
551,Godau port  (GDP),Sipitang (SIP),630
552,Godau port  (GDP),Songkhla (SK),500
553,Godau port  (GDP),Son Duong (SOD),664
554,Godau port  (GDP),Semarang - Tanjung Emas (SRG),1125
555,Godau port  (GDP),Surat Thanee (SRT),619
556,Godau port  (GDP),Tacloban (TAC),1280
557,Godau port  (GDP),Terengganu (TGG),420
558,Godau port  (GDP),Tanjung Batu (TJQ),840
559,Godau port  (GDP),Tanjung Priok (TP),999
560,Godau port  (GDP),Tha Sala (TSL),510
561,Godau port  (GDP),Vung Ang (VAG),769
562,Godau port  (GDP),Can Tho (VCA),138
563,Godau port  (GDP),Vung Tau (VUT),120
564,GRN,Palembang (PLB),1458
565,HO CHI MINH (HCM),Bahodopi (BHDP),1940
566,HO CHI MINH (HCM),Bangkok (BK),690
567,HO CHI MINH (HCM),Balikpapan (BPN),1345
568,HO CHI MINH (HCM),Bang Sapan (BS),621
569,HO CHI MINH (HCM),Dumai (DMI),790
570,HO CHI MINH (HCM),Futong (FTG),785
571,HO CHI MINH (HCM),Godau port  (GDP),58
572,HO CHI MINH (HCM),Halong Bay (HLG),808
573,HO CHI MINH (HCM),K.K. Kota Kinabalu (KK),761
574,HO CHI MINH (HCM),Kedah (KKH),1060
575,HO CHI MINH (HCM),KUM,1150
576,HO CHI MINH (HCM),Labuan (LBN),638
577,HO CHI MINH (HCM),Laem Chabang (LCB),668
578,HO CHI MINH (HCM),Lahad Datu (LDU),1120
579,HO CHI MINH (HCM),Lumut (LUM),904
580,HO CHI MINH (HCM),Makassar (MAK),1520
581,HO CHI MINH (HCM),Maptaphut (MAT),611
582,HO CHI MINH (HCM),Manila Habour (MNL),940
583,HO CHI MINH (HCM),My Tho (MUT),100
584,HO CHI MINH (HCM),Nghi Son (NGH),820
585,HO CHI MINH (HCM),Nunukan (NNX),1000
586,HO CHI MINH (HCM),Oknha Mong Port (OMP),461
587,HO CHI MINH (HCM),Pasir Gudang (PAS),704
588,HO CHI MINH (HCM),Panjang (PNJ),1080
589,HO CHI MINH (HCM),Pontianak (POT),576
590,HO CHI MINH (HCM),Quy Nhon (QNN),350
591,HO CHI MINH (HCM),Yangon (RGN),1826
592,HO CHI MINH (HCM),Sungai Guntung (SGGT),760
593,HO CHI MINH (HCM),Srihanoville (SIH),400
594,HO CHI MINH (HCM),Sipitang (SIP),648
595,HO CHI MINH (HCM),Songkhla (SK),520
596,HO CHI MINH (HCM),Sampit (SMQ),1135
597,HO CHI MINH (HCM),Semarang - Tanjung Emas (SRG),1100
598,HO CHI MINH (HCM),Surabaya (SUBY),1330
599,HO CHI MINH (HCM),Tacloban (TAC),1250
600,HO CHI MINH (HCM),Tarjun (TAR),1320
601,HO CHI MINH (HCM),Tawau (TAW),1211
602,HO CHI MINH (HCM),Tanjung Batu (TJQ),810
603,HO CHI MINH (HCM),Tanjung Priok (TP),1021
604,HO CHI MINH (HCM),Vung Ang (VAG),695
605,HO CHI MINH (HCM),Vung Tau (VUT),41
606,Hong Kong (HKG),Beihai (BHY),780
607,Hong Kong (HKG),Bangkok (BK),1690
608,Hong Kong (HKG),Ningde (NDE),570
609,Hong Kong (HKG),Son Duong (SOD),580
610,Hong Kong (HKG),Vung Tau (VUT),990
611,Phuket (HKT),Benoa (Bali) (BAO),1545
612,Phuket (HKT),Laem Chabang (LCB),1346
613,Phuket (HKT),Malacca (MAL),418
614,Halong Bay (HLG),HO CHI MINH (HCM),808
615,Halong Bay (HLG),Songkhla (SK),1243
616,Hon Gai (HON),Bintulu (BIN),1154
617,Hon Gai (HON),Bangkok (BK),1480
618,Hon Gai (HON),Bang Sapan (BS),1410
619,Hon Gai (HON),Godau port  (GDP),815
620,Hon Gai (HON),Haiphong (HPH),45
621,Hon Gai (HON),Kemaman (KMN),1228
622,Hon Gai (HON),Kuantan (KT),1243
623,Hon Gai (HON),Kuching (KUC),1289
624,Hon Gai (HON),Labuan (LBN),1163
625,Hon Gai (HON),Maptaphut (MAT),1389
626,Hon Gai (HON),Pasir Gudang (PAS),1348
627,Hon Gai (HON),Phumy (PHU),828
628,Hon Gai (HON),Port Klang (PKL),1548
629,Hon Gai (HON),Songkhla (SK),1229
630,Hon Gai (HON),Son Duong (SOD),199
631,Hon Gai (HON),Tagbilaran (TAG),1526
632,Hon Gai (HON),Tawau (TAW),1555
633,Hon Gai (HON),Tanjong Manis (TGM),1247
634,Hon Gai (HON),Vung Tau (VUT),798
635,Haiphong (HPH),Bintulu (BIN),1335
636,Haiphong (HPH),Bangkok (BK),1429
637,Haiphong (HPH),Bang Sapan (BS),1454
638,Haiphong (HPH),Cai Lan (CLN),70
639,Haiphong (HPH),Cam Pha (CPH),54
640,Haiphong (HPH),Danang (DAD),300
641,Haiphong (HPH),Fangcheng (FAN),170
642,Haiphong (HPH),Godau port  (GDP),798
643,Haiphong (HPH),Hon Gai (HON),45
644,Haiphong (HPH),Khanom (KHM),1330
645,Haiphong (HPH),Kemaman (KMN),1235
646,Haiphong (HPH),Kuantan (KT),1253
647,Haiphong (HPH),Kuching (KUC),1335
648,Haiphong (HPH),KUM,1870
649,Haiphong (HPH),Labuan (LBN),1186
650,Haiphong (HPH),Makassar (MAK),2045
651,Haiphong (HPH),Maptaphut (MAT),1336
652,Haiphong (HPH),Century Harbour (MHI),1375
653,Haiphong (HPH),Pasir Gudang (PAS),1353
654,Haiphong (HPH),Phumy (PHU),811
655,Haiphong (HPH),Port Klang (PKL),1556
656,Haiphong (HPH),Palembang (PLB),1552
657,Haiphong (HPH),Songkhla (SK),1254
658,Haiphong (HPH),Son Duong (SOD),194
659,Haiphong (HPH),Tacloban (TAC),1490
660,Haiphong (HPH),Tagbilaran (TAG),1379
661,Haiphong (HPH),Tarjun (TAR),1950
662,Haiphong (HPH),Tawau (TAW),1405
663,Haiphong (HPH),Tanjong Manis (TGM),1487
664,Haiphong (HPH),Tanjung Priok (TP),1706
665,Haiphong (HPH),Can Tho (VCA),874
666,Haiphong (HPH),Vung Tau (VUT),781
667,Rayong (IRPC),Bangkok (BK),125
668,Rayong (IRPC),Kelantan (KLT),405
669,Rayong (IRPC),Kuantan (KT),560
670,Rayong (IRPC),Narathiwat (NAW),375
671,Rayong (IRPC),Oknha Mong Port (OMP),194
672,Rayong (IRPC),Yangon (RGN),1815
673,Rayong (IRPC),Songkhla (SK),342
674,Rayong (IRPC),Surabaya (SUBY),1408
675,Rayong (IRPC),Terengganu (TGG),470
676,Jakarta (JAK),Benoa (Bali) (BAO),655
677,Jakarta (JAK),Bahodopi (BHDP),1265
678,Jakarta (JAK),Bintulu (BIN),778
679,Jakarta (JAK),Bangkok (BK),1320
680,Jakarta (JAK),Bang Sapan (BS),1172
681,Jakarta (JAK),Dumai (DMI),970
682,Jakarta (JAK),Futong (FTG),580
683,Jakarta (JAK),K.K. Kota Kinabalu (KK),1005
684,Jakarta (JAK),Kemaman (KMN),680
685,Jakarta (JAK),Kuantan (KT),669
686,Jakarta (JAK),Kantang (KTG),1130
687,Jakarta (JAK),Kuching (KUC),640
688,Jakarta (JAK),Labuan (LBN),945
689,Jakarta (JAK),Laem Chabang (LCB),1251
690,Jakarta (JAK),Lahad Datu (LDU),1370
691,Jakarta (JAK),Malacca (MAL),900
692,Jakarta (JAK),Maptaphut (MAT),1220
693,Jakarta (JAK),Manila Habour (MNL),1850
694,Jakarta (JAK),My Tho (MUT),1140
695,Jakarta (JAK),Nunukan (NNX),1100
696,Jakarta (JAK),Pasir Gudang (PAS),550
697,Jakarta (JAK),Port Klang (PKL),1000
698,Jakarta (JAK),Palembang (PLB),460
699,Jakarta (JAK),Penang (PNG),1200
700,Jakarta (JAK),Pontianak (POT),430
701,Jakarta (JAK),Singapore (SG),526
702,Jakarta (JAK),Sampit (SMQ),458
703,Jakarta (JAK),Son Duong (SOD),1546
704,Jakarta (JAK),Semarang - Tanjung Emas (SRG),280
705,Jakarta (JAK),Surat Thanee (SRT),1130
706,Jakarta (JAK),Surabaya (SUBY),386
707,Jakarta (JAK),Tacloban (TAC),1790
708,Jakarta (JAK),Tawau (TAW),1160
709,Jakarta (JAK),Terengganu (TGG),745
710,Jakarta (JAK),Tanjong Manis (TGM),660
711,Jakarta (JAK),Tanjung Batu (TJQ),200
712,Jakarta (JAK),Tha Sala (TSL),1028
713,Jambi (JBI),Bangkok (BK),300
714,Jambi (JBI),Tanjong Manis (TGM),300
715,KEM ,Surabaya (SUBY),886
716,Khanom (KHM),Bangpakong (BAK),274
717,Khanom (KHM),Bangkok (BK),295
718,Khanom (KHM),Godau port  (GDP),572
719,Khanom (KHM),Haiphong (HPH),1330
720,Khanom (KHM),Kemaman (KMN),392
721,Khanom (KHM),Ko Sichang (KSI),250
722,Khanom (KHM),Kuantan (KT),408
723,Khanom (KHM),Century Harbour (MHI),271
724,Khanom (KHM),Phumy (PHU),590
725,Khanom (KHM),Songkhla (SK),144
726,Khanom (KHM),Surat Thanee (SRT),49
727,Khanom (KHM),Tha Sala (TSL),35
728,Khanom (KHM),Vung Tau (VUT),560
729,K.K. Kota Kinabalu (KK),Bahodopi (BHDP),1580
730,K.K. Kota Kinabalu (KK),Bintulu (BIN),308
731,K.K. Kota Kinabalu (KK),Bangkok (BK),1410
732,K.K. Kota Kinabalu (KK),Bang Sapan (BS),1250
733,K.K. Kota Kinabalu (KK),Danang (DAD),1003
734,K.K. Kota Kinabalu (KK),Dumai (DMI),1080
735,K.K. Kota Kinabalu (KK),Futong (FTG),910
736,Kedah (KKH),Bangpakong (BAK),1245
737,Kedah (KKH),Bangkok (BK),1260
738,K.K. Kota Kinabalu (KK),HO CHI MINH (HCM),761
739,Kedah (KKH),Godau port  (GDP),1038
740,Kedah (KKH),HO CHI MINH (HCM),1060
741,Kedah (KKH),Kuantan (KT),625
742,Kedah (KKH),Malacca (MAL),300
743,Kedah (KKH),Century Harbour (MHI),1250
744,Kedah (KKH),Port Klang (PKL),210
745,Kedah (KKH),Songkhla (SK),918
746,K.K. Kota Kinabalu (KK),Jakarta (JAK),1005
747,K.K. Kota Kinabalu (KK),Kuantan (KT),790
748,K.K. Kota Kinabalu (KK),KUM,960
749,K.K. Kota Kinabalu (KK),Labuan (LBN),80
750,K.K. Kota Kinabalu (KK),Lahad Datu (LDU),570
751,K.K. Kota Kinabalu (KK),Lumut (LUM),1071
752,K.K. Kota Kinabalu (KK),Malacca (MAL),917
753,K.K. Kota Kinabalu (KK),Century Harbour (MHI),1395
754,K.K. Kota Kinabalu (KK),Manila Habour (MNL),650
755,K.K. Kota Kinabalu (KK),Muara (MUR),103
756,K.K. Kota Kinabalu (KK),My Tho (MUT),650
757,K.K. Kota Kinabalu (KK),Nghi Son (NGH),1040
758,K.K. Kota Kinabalu (KK),Nunukan (NNX),510
759,K.K. Kota Kinabalu (KK),Pasir Gudang (PAS),802
760,K.K. Kota Kinabalu (KK),Port Klang (PKL),1005
761,K.K. Kota Kinabalu (KK),Sandakan (SAN),223
762,K.K. Kota Kinabalu (KK),Sungai Guntung (SGGT),830
763,K.K. Kota Kinabalu (KK),Sipitang (SIP),130
764,K.K. Kota Kinabalu (KK),Songkhla (SK),1030
765,K.K. Kota Kinabalu (KK),Semarang - Tanjung Emas (SRG),1130
766,K.K. Kota Kinabalu (KK),Sarekei (SRK),452
767,K.K. Kota Kinabalu (KK),Surabaya (SUBY),1146
768,K.K. Kota Kinabalu (KK),Tacloban (TAC),730
769,K.K. Kota Kinabalu (KK),Tawau (TAW),450
770,K.K. Kota Kinabalu (KK),Terengganu (TGG),833
771,K.K. Kota Kinabalu (KK),Tanjung Batu (TJQ),790
772,K.K. Kota Kinabalu (KK),Vung Ang (VAG),1208
773,Kelantan (KLT),Bangkok (BK),475
774,Kelantan (KLT),Rayong (IRPC),405
775,Kelantan (KLT),Phumy (PHU),424
776,Kelantan (KLT),Songkhla (SK),125
777,Kelantan (KLT),Vung Tau (VUT),394
778,Kemaman (KMN),Bangpakong (BAK),644
779,Kemaman (KMN),Bahodopi (BHDP),1665
780,Kemaman (KMN),Bangkok (BK),650
781,Kemaman (KMN),Balikpapan (BPN),1185
782,Kemaman (KMN),Bang Sapan (BS),508
783,Kemaman (KMN),Cayagan de Oro City (Macabalan wharf) (CDO),1360
784,Kemaman (KMN),Cat Lai (CLI),490
785,Kemaman (KMN),Cam Pha (CPH),1231
786,Kemaman (KMN),Dumai (DMI),460
787,Kemaman (KMN),Dung Quat (DQT),806
788,Kemaman (KMN),Davao (Sasa Wharf) (DVO),1526
789,Kemaman (KMN),Futong (FTG),390
790,Kemaman (KMN),Hon Gai (HON),1228
791,Kemaman (KMN),Haiphong (HPH),1235
792,Kemaman (KMN),Jakarta (JAK),680
793,Kemaman (KMN),Khanom (KHM),392
794,Kemaman (KMN),Kuantan (KT),20.5
795,Kemaman (KMN),Kuching (KUC),500
796,Kemaman (KMN),KUM,730
797,Kemaman (KMN),Labuan (LBN),741
798,Kemaman (KMN),Lahad Datu (LDU),1250
799,Kemaman (KMN),Lumut (LUM),516
800,Kemaman (KMN),Malacca (MAL),365
801,Kemaman (KMN),Maptaphut (MAT),590
802,Kemaman (KMN),Century Harbour (MHI),645
803,Kemaman (KMN),Maeklong (Firesun) (MKG),638
804,Kemaman (KMN),Manila Habour (MNL),1210
805,Kemaman (KMN),Muara (MUR),732
806,Kemaman (KMN),My Tho (MUT),500
807,Kemaman (KMN),Nghi Son (NGH),1100
808,Kemaman (KMN),Nunukan (NNX),1220
809,Kemaman (KMN),Pasir Gudang (PAS),215
810,Kemaman (KMN),Port Klang (PKL),435
811,Kemaman (KMN),Palembang (PLB),480
812,Kemaman (KMN),Penang (PNG),608
813,Kemaman (KMN),Pontianak (POT),460
814,Kemaman (KMN),Yangon (RGN),1345
815,Kemaman (KMN),Singapore (SG),234
816,Kemaman (KMN),Sungai Guntung (SGGT),330
817,Kemaman (KMN),Songkhla (SK),305
818,Kemaman (KMN),Semarang - Tanjung Emas (SRG),800
819,Kemaman (KMN),Sarekei (SRK),512
820,Kemaman (KMN),Surat Thanee (SRT),443
821,Kemaman (KMN),Tacloban (TAC),1440
822,Kemaman (KMN),Terengganu (TGG),87
823,Kemaman (KMN),Tanjung Batu (TJQ),500
824,Kemaman (KMN),Tanjung Priok (TP),695
825,Kemaman (KMN),Vung Ang (VAG),1287
826,Kemaman (KMN),Can Tho (VCA),410
827,Kampot (KMP),Bangkok (BK),334
828,Kampot (KMP),Phumy (PHU),600
829,Kampot (KMP),Surat Thanee (SRT),340
830,Ko Sichang (KSI),Ayutthaya - Bangpain (AB),103
831,Ko Sichang (KSI),Ayutthaya - Nakorn Luang (ANL),150
832,Ko Sichang (KSI),Bangpakong (BAK),27
833,Ko Sichang (KSI),Bangkok (BK),60
834,Ko Sichang (KSI),Godau port  (GDP),620
835,Ko Sichang (KSI),Khanom (KHM),250
836,Ko Sichang (KSI),Kuantan (KT),635
837,Ko Sichang (KSI),Maptaphut (MAT),75
838,Ko Sichang (KSI),Century Harbour (MHI),45
839,Ko Sichang (KSI),Maeklong (Firesun) (MKG),60
840,Ko Sichang (KSI),Oknha Mong Port (OMP),248
841,Ko Sichang (KSI),Pasir Gudang (PAS),828.5
842,Ko Sichang (KSI),Port Klang (PKL),1039
843,Ko Sichang (KSI),Palembang (PLB),1100
844,Ko Sichang (KSI),Pontianak (POT),1060
845,Ko Sichang (KSI),Songkhla (SK),365
846,Ko Sichang (KSI),Sampit (SMQ),1500
847,Ko Sichang (KSI),Surat Thanee (SRT),260
848,Kor Samui (KSM),Bangkok (BK),268
849,Kor Samui (KSM),Surat Thanee (SRT),47
850,Kuantan (KT),Benoa (Bali) (BAO),1121
851,Kuantan (KT),Batam (BAT),196
852,Kuantan (KT),Bahodopi (BHDP),1650
853,Kuantan (KT),Bintulu (BIN),583
854,Kuantan (KT),Bangkok (BK),680
855,Kuantan (KT),Balikpapan (BPN),1170
856,Kuantan (KT),Belawan (BRW),582
857,Kuantan (KT),Bang Sapan (BS),497
858,Kuantan (KT),Cayagan de Oro City (Macabalan wharf) (CDO),1360
859,Kuantan (KT),Cat Lai (CLI),510
860,Kuantan (KT),Cam Pha (CPH),1246
861,Kuantan (KT),Danang (DAD),925
862,Kuantan (KT),Dumai (DMI),450
863,Kuantan (KT),Dung Quat (DQT),820
864,Kuantan (KT),Davao (Sasa Wharf) (DVO),1526
865,Kuantan (KT),Futong (FTG),270
866,Kantang (KTG),Bangkok (BK),1399
867,Kuantan (KT),Godau port  (GDP),485
868,Kantang (KTG),Jakarta (JAK),1130
869,Kantang (KTG),Kuantan (KT),724
870,Kantang (KTG),Malacca (MAL),393
871,Kantang (KTG),Port Klang (PKL),305
872,Kantang (KTG),Penang (PNG),150
873,Kantang (KTG),Yangon (RGN),668
874,Kantang (KTG),Songkhla (SK),1022
875,Kantang (KTG),Ranong (UNN),255
876,Kuantan (KT),Hon Gai (HON),1243
877,Kuantan (KT),Haiphong (HPH),1253
878,Kuantan (KT),Rayong (IRPC),560
879,Kuantan (KT),Jakarta (JAK),669
880,Kuantan (KT),Khanom (KHM),408
881,Kuantan (KT),K.K. Kota Kinabalu (KK),790
882,Kuantan (KT),Kedah (KKH),625
883,Kuantan (KT),Kemaman (KMN),20.5
884,Kuantan (KT),Ko Sichang (KSI),635
885,Kuantan (KT),Kantang (KTG),724
886,Kuantan (KT),Kuching (KUC),493
887,Kuantan (KT),KUM,760
888,Kuantan (KT),Labuan (LBN),738
889,Kuantan (KT),Laem Chabang (LCB),625
890,Kuantan (KT),Lahad Datu (LDU),1250
891,Kuantan (KT),Lumut (LUM),480
892,Kuantan (KT),Maptaphut (MAT),617
893,Kuantan (KT),Century Harbour (MHI),666
894,Kuantan (KT),Maeklong (Firesun) (MKG),657
895,Kuantan (KT),Manila Habour (MNL),1230
896,Kuantan (KT),Marunda (MRD),684
897,Kuantan (KT),Muara (MUR),732
898,Kuantan (KT),My Tho (MUT),520
899,Kuantan (KT),Nghi Son (NGH),1180
900,Kuantan (KT),Nunukan (NNX),1230
901,Kuantan (KT),Oknha Mong Port (OMP),439
902,Kuantan (KT),Pasir Gudang (PAS),216
903,Kuantan (KT),Port Moresby (PGPOM),3015
904,Kuantan (KT),Port Klang (PKL),428
905,Kuantan (KT),PAKAN Baru (PKRU),99
906,Kuantan (KT),Palembang (PLB),465
907,Kuantan (KT),Penang (PNG),612
908,Kuantan (KT),Phnom Penh (PNH),640
909,Kuantan (KT),Panjang (PNJ),740
910,Kuantan (KT),Poso (POSO),1850
911,Kuantan (KT),Pontianak (POT),445
912,Kuantan (KT),Quy Nhon (QNN),710
913,Kuantan (KT),Yangon (RGN),1326
914,Kuantan (KT),Singapore (SG),220
915,Kuantan (KT),Sungai Guntung (SGGT),300
916,Kuantan (KT),Srihanoville (SIH),415
917,Kuantan (KT),Sipitang (SIP),763
918,Kuantan (KT),Songkhla (SK),310
919,Kuantan (KT),Semarang - Tanjung Emas (SRG),790
920,Kuantan (KT),Sarekei (SRK),512
921,Kuantan (KT),Sarawak (SRW),490
922,Kuantan (KT),Sritama Jetty (STM),410
923,Kuantan (KT),Surabaya (SUBY),874
924,Kuantan (KT),Tacloban (TAC),1455
925,Kuantan (KT),Tawau (TAW),1229
926,Kuantan (KT),Terengganu (TGG),102
927,Kuantan (KT),Tanjong Manis (TGM),498
928,Kuantan (KT),Tanjung Batu (TJQ),480
929,Kuantan (KT),Tanjung Priok (TP),670
930,Kuantan (KT),Ranong (UNN),892
931,Kuantan (KT),Vung Ang (VAG),1287
932,Kuantan (KT),Can Tho (VCA),420
933,Kuching (KUC),Batam (BAT),423
934,Kuching (KUC),Bahodopi (BHDP),1555
935,Kuching (KUC),Bangkok (BK),1088
936,Kuching (KUC),Balikpapan (BPN),1053
937,Kuching (KUC),Belawan (BRW),813
938,Kuching (KUC),Bang Sapan (BS),944
939,Kuching (KUC),Cat Lai (CLI),630
940,Kuching (KUC),Cam Pha (CPH),1292
941,Kuching (KUC),Dumai (DMI),637
942,Kuching (KUC),Dung Quat (DQT),832
943,Kuching (KUC),Futong (FTG),510
944,Kuching (KUC),Godau port  (GDP),595
945,Kuching (KUC),Hon Gai (HON),1289
946,Kuching (KUC),Haiphong (HPH),1335
947,Kuching (KUC),Jakarta (JAK),640
948,Kuching (KUC),Kemaman (KMN),500
949,Kuching (KUC),Kuantan (KT),490
950,Kuching (KUC),KUM,560
951,Kuching (KUC),Lahad Datu (LDU),980
952,Kuching (KUC),Lumut (LUM),700
953,Kuching (KUC),Malacca (MAL),583
954,Kuching (KUC),Manila Habour (MNL),1050
955,Kuching (KUC),Muara (MUR),390
956,Kuching (KUC),My Tho (MUT),610
957,Kuching (KUC),Nghi Son (NGH),1137
958,Kuching (KUC),Nunukan (NNX),900
959,Kuching (KUC),Pasir Gudang (PAS),449
960,Kuching (KUC),Port Klang (PKL),651
961,Kuching (KUC),PAKAN Baru (PKRU),99
962,Kuching (KUC),Palembang (PLB),548
963,Kuching (KUC),Pontianak (POT),273
964,Kuching (KUC),Sandakan (SAN),663
965,Kuching (KUC),Sattahip (SATP),909
966,Kuching (KUC),Singapore (SG),415
967,Kuching (KUC),Sungai Guntung (SGGT),360
968,Kuching (KUC),Sipitang (SIP),441
969,Kuching (KUC),Songkhla (SK),723
970,Kuching (KUC),Son Duong (SOD),1079
971,Kuching (KUC),Semarang - Tanjung Emas (SRG),720
972,Kuching (KUC),Surabaya (SUBY),743
973,Kuching (KUC),Tacloban (TAC),1155
974,Kuching (KUC),Terengganu (TGG),523
975,Kuching (KUC),Tanjung Batu (TJQ),440
976,Kuching (KUC),Tanjung Priok (TP),639
977,Kuching (KUC),Tha Sala (TSL),800
